id,company_id,period,financial_risk_score,financial_risk_level,risk_score_change,risk_trend,main_financial_risk_factor,financial_risk_explanation,negative_financial_signals,profitability_risk,liquidity_risk,leverage_risk,debt_growth_risk,revenue_risk,cash_risk,equity_risk,revenue,net_profit,total_assets,total_liabilities,total_debt,equity,cash,current_assets,current_liabilities,profit_margin,debt_ratio,liability_ratio,debt_to_equity,current_ratio,cash_ratio,revenue_growth,profit_growth,debt_growth,cash_growth,equity_growth,profitability_warning,liquidity_warning,leverage_warning,debt_growth_warning,profit_decline_warning,cash_decline_warning,equity_decline_warning
1,1,2024Q1,34.62,Low,,Stable,Profitability,No major financial risk drivers detected.,0,50.0,25,25,,,,,11794216.19,852460.59,39876783.98,24018740.84,20094923.92,15858043.14,4472316.69,17412679.28,10409195.99,0.07227785011459927,0.5039253900233909,0.6023239199040344,1.267175511038495,1.672816930023046,0.4296505411461659,,,,,,0,0,0,0,0,0,0
2,1,2024Q2,25.62,Low,-8.999999999999996,Improving,Liquidity,No major financial risk drivers detected.,2,37.5,50,25,0.0,0.0,0.0,25.0,11847692.69,822109.59,38816164.07,23763085.46,19786316.74,15053078.61,4548943.66,11768247.68,10921750.79,0.06938984758558926,0.5097442576839355,0.6121956156498697,1.3144365516603118,1.0775056038428432,0.4165031548023447,0.004534129198457526,-0.03560399196870789,-0.01535746943997407,0.01713361895219445,-0.05076064700376404,0,0,0,0,1,0,1
3,1,2024Q3,25.0,Low,-0.620000000000001,Stable,Liquidity,No major financial risk drivers detected.,1,25.0,50,25,25.0,0.0,0.0,0.0,12313058.08,1086301.02,39403431.6,23944945.7,20735269.6,15458485.9,4587645.51,10227552.42,9527055.82,0.08822349516603596,0.526230045405487,0.6076868112167164,1.3413519107974217,1.0735270804784682,0.48153864075921826,0.03927898892860293,0.3213579226098069,0.04796005605639575,0.008507876309903573,0.026931852314295623,0,0,0,1,0,0,0
4,1,2024Q4,33.75,Low,8.75,Deteriorating,Liquidity,Main financial risk drivers: low liquidity position.,3,25.0,75,25,25.0,25.0,0.0,25.0,12252894.47,1188972.75,39735785.44,25586654.36,20875158.22,14149131.08,4608420.1,12404162.0,15251185.78,0.09703607200005535,0.52534907738318,0.643919682892268,1.4753667982839833,0.8133244312233406,0.3021679865734348,-0.004886163096860741,0.09451498996107,0.006746409508946005,0.004528377346226131,-0.08470136263474548,0,1,0,1,0,0,1
5,1,2025Q1,29.38,Low,-4.370000000000001,Stable,Liquidity,No major financial risk drivers detected.,3,37.5,50,25,25.0,0.0,0.0,25.0,12278766.0,1090621.88,39894077.77,26306972.07,21718194.35,13587105.7,4772316.7,16583525.61,12744231.7,0.08882178225401477,0.5443964509020909,0.6594204839542026,1.5984415540389887,1.3012573845467672,0.3744687645627159,0.002111462729344815,-0.08271919604549394,0.0403846582198506,0.035564596205107435,-0.03972154733900457,0,0,0,1,1,0,1
6,1,2025Q2,33.75,Low,4.370000000000001,Stable,Liquidity,Main financial risk drivers: low liquidity position.,3,50.0,75,25,0.0,0.0,0.0,25.0,12346132.81,974409.11,40114388.78,27485685.19,21518992.65,12628703.59,4923852.3,11328040.11,14435605.29,0.07892423684368255,0.5364407461875329,0.6851826994233963,1.7039747980972288,0.7847291389885321,0.3410908099164299,0.0054864479052700865,-0.10655642632073359,-0.00917211149277719,0.031753047738847684,-0.07053762082678139,0,1,0,0,1,0,1
7,1,2025Q3,31.25,Low,-2.5,Stable,Profitability,No major financial risk drivers detected.,2,50.0,50,25,25.0,0.0,0.0,0.0,12348587.9,826255.75,41157309.67,25443792.06,22124845.7,15713517.61,4980393.68,15486486.75,12699734.49,0.0669109501986053,0.5375678312649049,0.6182083392721427,1.4080135491699113,1.219433899361781,0.39216518139978845,0.00019885498056626538,-0.15204430919164946,0.02815434067263367,0.01148315923286325,0.24427004704130528,0,0,0,1,1,0,0
8,1,2025Q4,29.38,Low,-1.870000000000001,Stable,Liquidity,No major financial risk drivers detected.,2,37.5,50,25,0.0,25.0,0.0,50.0,12252829.58,824461.36,41710840.43,28725847.75,21611606.11,12984992.68,5156413.98,13702229.63,12146612.59,0.0672874257017129,0.5181292413963474,0.6886902170721857,1.6643525832160886,1.1280700300988196,0.42451456665746845,-0.007754596782681533,-0.0021717125720456254,-0.023197431383668365,0.03534264785268948,-0.17364189214155212,0,0,0,0,1,0,1
9,1,2026Q1,26.25,Low,-3.129999999999999,Stable,Liquidity,No major financial risk drivers detected.,2,25.0,50,25,25.0,0.0,0.0,25.0,12254520.59,1042875.87,40200086.11,27460204.02,22494085.08,12739882.08,5325097.39,11017560.74,10287534.77,0.08510131933280304,0.5595531566387483,0.6830881890367174,1.7656431149635883,1.070962187377375,0.5176261863560147,0.00013800975431510487,0.264917824650994,0.04083356718183295,0.032713317948144915,-0.018876452689690626,0,0,0,1,0,0,1
10,1,2026Q2,45.62,Medium,19.369999999999997,Rapid Deterioration,Equity Decline,"Main financial risk drivers: weak profitability or declining profit, declining equity.",4,62.5,50,50,25.0,25.0,0.0,75.0,12078403.68,650990.9,40124494.59,30630308.09,23156124.46,9494186.5,5404240.19,12748701.67,11689140.14,0.053897097434981577,0.577106944189923,0.7633817797080443,2.4389793122349137,1.0906449505532234,0.4623300024872488,-0.014371587097721017,-0.37577336025619235,0.0294317096092358,0.014862225834333609,-0.25476653234454427,0,0,1,1,1,0,1
11,2,2024Q1,50.0,Medium,,Stable,Liquidity,Main financial risk drivers: low liquidity position.,1,50.0,75,25,,,,,17073064.22,1079373.75,35051417.28,24939048.88,17173634.08,10112368.4,3231720.15,11579864.42,13198837.45,0.06322085690602527,0.48995548290708085,0.711499015311714,1.6982801061717647,0.877339725098289,0.24484884841126672,,,,,,0,1,0,0,0,0,0
12,2,2024Q2,36.88,Low,-13.119999999999997,Improving,Liquidity,Main financial risk drivers: low liquidity position.,4,12.5,75,50,25.0,25.0,0.0,50.0,17034166.7,1814197.32,34854996.26,26215660.23,17564009.07,8639336.03,3350640.08,10544140.87,10845440.04,0.10650343817522932,0.5039165386500604,0.7521349316592927,2.0330276550199198,0.9722188155677637,0.3089445949304239,-0.0022782975275424944,0.6807869563253692,0.022731064851010396,0.036797719010416285,-0.14566640689237553,0,1,1,1,0,0,1
13,2,2024Q3,43.12,Medium,6.239999999999995,Deteriorating,Liquidity,"Main financial risk drivers: weak profitability or declining profit, low liquidity position.",4,62.5,75,25,25.0,25.0,25.0,0.0,16967980.33,1241303.62,35313444.49,25893272.34,18347682.43,9420172.15,3312253.46,12829826.42,15259640.84,0.07315564939719613,0.519566490751013,0.7332411979050192,1.94770139418312,0.8407685708020898,0.21705972602694626,-0.0038855067679948174,-0.3157835664755584,0.044618136831786614,-0.011456503558567865,0.09038149659748806,0,1,0,1,1,1,0
14,2,2024Q4,27.5,Low,-15.619999999999997,Improving,Liquidity,No major financial risk drivers detected.,1,25.0,50,25,25.0,25.0,0.0,0.0,16600991.07,1617312.94,35080526.25,21632739.83,18369414.92,13447786.42,3388945.48,14456800.54,12852562.23,0.09742267393437011,0.5236356715144774,0.6166595015090459,1.3659805670828018,1.1248185600109712,0.26367858947919676,-0.02162834072545139,0.30291486622749053,0.001184481477860544,0.023154031213541204,0.427552087782175,0,0,0,1,0,0,0
15,2,2025Q1,38.12,Low,10.619999999999997,Deteriorating,Liquidity,"Main financial risk drivers: low liquidity position, declining equity.",4,12.5,75,50,25.0,25.0,0.0,75.0,16129944.22,1931836.36,35273444.15,26735287.36,18964384.71,8538156.79,3488774.83,14573720.97,15605380.35,0.11976708249273785,0.5376391550922595,0.7579437734038228,2.2211333401854763,0.9338907891469624,0.22356230682964418,-0.02837462221464826,0.194472827256301,0.03238915298016476,0.029457349074851535,-0.3650883109429991,0,1,1,1,0,0,1
